Lithuania,LTU,..,..,..,..,..,..,4344.17273,2401.120167,2037.619559,2662.800735,2275.760166,2412.480702,2468.998816,2356.645002,2387.275194
Luxembourg,LUX,10523.40669,10926.39517,12106.15294,10504.9812,9774.650556,8346.926421,8874.105015,7705.407158,7676.837039,9428.811286,8329.478275,8056.404301,7722.190204,7312.154005,6861.106667
"Macedonia, FYR",MKD,..,..,..,..,..,..,1240.934903,1260.427823,1311.028647,1359.378276,1390.534007,1506.138103,1427.790067,1301.026285,1262.556589
Malaysia,MYS,..,..,..,593.4657138,861.9838565,996.7452921,1210.396799,1686.693391,2108.600559,2561.608375,2610.309534,2672.128164,2669.140585,2955.791557,2967.541304
Malta,MLT,..,..,..,687.9877195,1005.122456,1023.899397,1961.642714,1879.094587,1731.708568,2181.143737,2012.315806,1993.328817,2093.249574,1814.254064,1811.493247
Mauritius,MUS,..,..,..,448.7556054,446.2966816,433.200265,629.3820689,697.0039832,851.2216556,945.7237672,1053.452495,1053.50989,1067.780253,1094.72587,1111.422168
Mexico,MEX,..,..,..,971.6144422,1371.297644,1404.003896,1448.968363,1401.229536,1474.592344,1646.774813,1489.637449,1541.834073,1586.612978,1567.683404,1513.259208
Moldova,MDA,..,..,..,..,..,..,2676.53869,1283.796437,792.1033456,972.7407782,984.6251241,969.6765661,959.5383534,862.6581606,928.3347725
Mongolia,MNG,..,..,..,..,..,1624.593302,1560.47973,1172.643284,999.6462888,1185.671493,1453.34341,1562.005435,1695.903243,1833.078724,1838.239459
Montenegro,MNE,..,..,..,..,..,..,..,..,..,1745.974431,1898.288421,1815.529957,1711.797113,1580.418443,1538.2641
Morocco,MAR,..,..,..,222.4733873,270.0741919,274.2204771,306.2193558,344.889307,381.9412047,486.3576211,527.0243831,560.1093502,559.9277658,554.1448044,553.1039584
Mozambique,MOZ,..,..,..,645.7618903,567.1736382,490.3396035,447.0249778,398.773105,396.9892217,405.7126894,411.2128095,415.4395494,411.0520292,413.5340155,427.5983631
Myanmar,MMR,..,..,..,282.006201,282.3595541,295.2850087,262.8697209,273.1132293,278.6006787,307.2458098,279.5506235,283.3469075,307.0757299,322.886268,371.8689107
Namibia,NAM,..,..,..,..,..,..,..,567.3343365,536.9010092,652.311096,707.9413944,716.8947216,727.0353288,749.7440126,761.6149696
Nepal,NPL,..,..,..,302.0786573,306.1133474,304.6859846,308.7654084,313.6839384,341.5081671,356.1434394,377.8467319,386.7382131,365.362293,401.3713981,412.724483
Netherlands,NLD,1825.934253,2493.153897,3765.567366,4318.726564,4548.824789,4184.429814,4394.54209,4780.412596,4739.065925,4989.46793,5025.320916,4636.701904,4646.255241,4600.182976,4325.523712
New Zealand,NZL,1685.788431,2241.41569,2457.81727,2772.282119,2886.324007,3448.328355,3854.366028,4053.690586,4430.227856,4095.143085,4225.094582,4177.025547,4357.809714,4360.305936,4559.892232
Nicaragua,NIC,..,..,..,526.551571,472.2466161,520.7087127,487.1676521,489.8038432,500.64375,531.9329849,515.2129163,526.604819,559.2718391,591.8795401,609.0071212
Niger,NER,..,..,..,..,..,..,..,..,129.4051347,127.2863011,135.6732774,113.4226947,128.3667371,155.6293339,150.7341231
Nigeria,NGA,..,..,..,608.4557298,665.1000608,682.8194438,697.192079,682.2695813,703.2447175,757.9586631,755.9891516,778.4993881,798.3031153,779.8515426,763.3913679
Norway,NOR,1906.17493,2539.59773,3417.674662,3651.680815,4491.906981,4815.313896,4966.893577,5391.414081,5826.077769,5802.71629,6934.590199,5649.697724,5906.141048,6415.990714,5595.654625
Oman,OMN,..,..,..,270.824358,996.9568053,1408.493096,2328.297722,2767.63147,3337.282203,3944.380311,6154.424191,6800.141045,6832.832753,6583.463582,6141.773197
Pakistan,PAK,..,..,..,304.6913243,317.1546515,349.8926496,398.405481,435.8736088,462.4698873,497.120431,498.4769482,491.7777217,487.0444964,488.4269635,484.4452184
Panama,PAN,..,..,..,969.0082254,713.8525749,702.8580492,603.3478632,728.8626981,847.7567091,875.0558856,990.5278899,1056.098498,1071.563858,1034.762882,1079.130151
Paraguay,PRY,..,..,..,528.1153953,655.4232966,615.1677667,729.219302,824.5582196,726.2703906,683.2006038,774.2206488,774.703227,783.3283353,764.1290865,788.6896223
Peru,PER,..,..,..,679.9145788,648.521008,541.3204307,445.9805528,456.3957958,471.6081445,494.1876271,635.49159,638.4424739,677.9690657,666.4327772,767.6895114
Philippines,PHL,..,..,..,442.1306738,472.9147443,437.4296439,463.4430355,481.4414945,512.7483331,450.3500854,431.0102538,426.8219905,446.5388715,454.8566571,476.2447245
Poland,POL,1827.936816,2088.010793,2549.980376,3029.427815,3559.326505,3351.954155,2705.608743,2577.529684,2320.376718,2414.16179,2640.238911,2653.403657,2566.574313,2565.670456,2473.406883
Portugal,PRT,336.9136017,440.8829378,663.8615064,845.3624414,1022.463649,1093.858572,1680.962391,2014.0205,2390.097939,2519.004925,2222.629692,2163.982113,2039.011896,2057.86133,2034.51263
Qatar,QAT,..,..,..,12413.72641,14799.60675,15217.33799,13698.28627,15870.8397,18438.15036,19268.69458,15531.77601,16030.60725,18055.61139,17926.71807,18562.66691
Romania,ROU,..,..,..,2432.730884,2932.527293,2853.794833,2683.178895,2053.942093,1614.209768,1810.327263,1730.087676,1777.106154,1741.722606,1595.98939,1591.667659
Russian Federation,RUS,..,..,..,..,..,..,5928.660986,4290.695231,4224.286188,4540.917363,4819.041423,5049.428043,5167.011977,5078.629314,4942.875517
Saudi Arabia,SAU,..,..,..,1180.410632,3192.868529,3487.24088,3552.714292,4510.416639,4712.743673,5126.341367,6763.336882,6307.892055,6888.066388,6417.917148,6937.230677
Senegal,SEN,..,..,..,281.1868379,279.0940102,240.672792,223.1976555,213.2066998,242.5980762,248.1185673,296.6227217,305.012439,293.7161442,262.8659266,272.0820018
Serbia,SRB,..,..,..,..,..,..,2598.79304,1808.665745,1826.357648,2159.573829,2141.055205,2237.461224,2020.395115,2080.972545,1859.428888
Singapore,SGP,..,..,..,1640.488376,2125.96683,2472.968325,3782.720276,5346.875562,4634.72585,5055.96632,5006.620992,5069.171794,4898.330465,4880.40607,5121.804318
